id,fetched_at,name,album_type,available_markets_rowid,external_id_upc,copyright_c,copyright_p,label,popularity,release_date,release_date_precision,total_tracks
4bSZYuWLGG4keN9XSUxXPe,2025-03-13 00:00:00.000000 +00:00,Rock My World,single,2,00602475989400,"© 2025 UMG Recordings, Inc.","℗ 2025 UMG Recordings, Inc.",Thrive Music/Capitol Records,27,2025-03-14,day,1
0uZgOU0f8jn1zSIwSaWLKs,2025-03-13 00:00:00.000000 +00:00,JUMP,single,3,3617390542460,2025 Pond Recordings,2025 Pond Recordings,Pond Recordings,38,2025-03-10,day,1
0OcVhpkvGEnIIb7ctI8Jao,2025-03-13 00:00:00.000000 +00:00,When the Sky Is Falling Down,single,3,7332181131130,2025 Victory Music AB / Playground Music Scandinavia AB,2025 Victory Music AB / Playground Music Scandinavia AB,506c6179-6772-6f75-6e64-204d75736963,8,2025-03-14,day,2
2f2UQwxhPBWKbqGtGzlMOG,2025-03-13 00:00:00.000000 +00:00,It’s Time,single,2,00602478047138,"© 2025 Jerry Solfeldt Production, distributed by Universal Music AB","℗ 2025 Jerry Solfeldt Production, distributed by Universal Music AB",Universal Music AB,14,2025-03-14,day,1
2yrM4PJnP5Dabpx11JYV22,2025-03-13 00:00:00.000000 +00:00,boring,single,3,7300343794509,2025 dilba,2025 dilba,dilba,9,2025-03-14,day,1
7uLygOrbsahN6Kk2ZjDVN7,2025-03-13 00:00:00.000000 +00:00,På tu man hand,single,3,199066848166,(C) 2025 Supertraditional,(P) 2025 Supertraditional,53757065-7274-7261-6469-74696f6e616c,23,2025-03-14,day,1
5BqGAm8Cn3GTv2n6QdKKSl,2025-03-13 00:00:00.000000 +00:00,Bar Named Jesus (ft. Thomas Rhett),single,3,193436417778,,2025 Mom and Daddy's Money,Mom and Daddy's Money,39,2025-03-14,day,1
2cUFZavhkv2ZzrSYzixfRS,2025-03-13 00:00:00.000000 +00:00,Ontario,single,3,199066889084,(C) 2025 Knippla Records,(P) 2025 Knippla Records,Knippla Records,18,2025-03-14,day,2
1SNmd9QRUbic32KIbf161D,2025-03-13 00:00:00.000000 +00:00,Du är bensin,single,3,7332181130713,"2025 Roxy Recordings, a division of Playground Music Scandinavia AB. Under exclusive license from Dalmatin","2025 Roxy Recordings, a division of Playground Music Scandinavia AB. Under exclusive license from Dalmatin",Roxy Recordings,10,2025-03-14,day,1
6pcUFkYv5xtyV6t3APaXHX,2025-03-13 00:00:00.000000 +00:00,Play It Loud,single,3,196872911831,,"(P) 2025 Signatune, a joint venture with Sony Music Entertainment France SAS",Signatune,36,2025-03-14,day,1
58GtsHM7OSUS5AB9fRQZLT,2025-03-13 00:00:00.000000 +00:00,Ask If You're Okay (with Crate Classics),single,3,196872876574,,(P) 2025 Yachtvej via Sony Music Entertainment Denmark A/S,Sony Music Entertainment,17,2025-03-14,day,1
0H2YJmkiEJBR0EqDSFJ5yv,2025-03-13 00:00:00.000000 +00:00,Make Believe,single,4,5021732630971,2025 Mother Mother Music Inc. under exclusive license to Warner Music Canada Co.,2025 Mother Mother Music Inc. under exclusive license to Warner Music Canada Co.,WM Canada,40,2025-03-14,day,1
7y5CGrH0FgyOVKFtqhCzPH,2025-03-13 00:00:00.000000 +00:00,Emergence,single,3,196872881882,,"(P) 2025 RCA Records, under exclusive license from Sleep Token",Sleep Token/RCA Records,65,2025-03-13,day,1
5iWuoyeyxQ4QAkd4QqesaE,2025-03-13 00:00:00.000000 +00:00,9 songs,album,4,5034644494609,32303235-2041-7564-696f-636f70746572,32303235-2041-7564-696f-636f70746572,Audiocopter,13,2025-03-14,day,9
4OocGe61Qk49XoTroMXPVA,2025-03-13 00:00:00.000000 +00:00,Ben & Jerry's,single,3,198704386541,© 2025 Shape Music,℗ 2025 Shape Music,Shape Music,17,2025-03-14,day,1
6MGmzIdxF5O94WMrIzsQH2,2025-03-13 00:00:00.000000 +00:00,Drömmen Om Grannkommun,single,3,7333041032239,© 2025 NINETONE RECORDS,℗ 2025 NINETONE RECORDS,Ninetone,21,2025-03-14,day,1
0sr7mgrwYkS1dL5mOqz7hA,2025-03-13 00:00:00.000000 +00:00,HELA HAVET STORMAR 2025,single,3,7300343930556,2025 vem e du?,2025 vem e du?,vem e du?,22,2025-03-14,day,1
1WAjjRMfZjEXtB0lQrAw6Q,2025-03-13 00:00:00.000000 +00:00,476f6f64-204c-7563-6b2c-204261626521,single,2,00602465578102,"© 2024 KRA International Inc., under exclusive license to Island Records, a division of UMG Recordings, Inc.","℗ 2024 KRA International Inc., under exclusive license to Island Records, a division of UMG Recordings, Inc.",Chappell Roan PS/ Island,82,2024-04-05,day,1
7aJuG4TFXa2hmE4z1yxc3n,2025-03-13 00:00:00.000000 +00:00,HIT ME HARD AND SOFT,album,2,00602465630909,© 2024 Darkroom/Interscope Records,℗ 2024 Darkroom/Interscope Records,Darkroom/Interscope Records,94,2024-05-17,day,10
0hBRqPYPXhr1RkTDG3n4Mk,2025-03-13 00:00:00.000000 +00:00,The Secret of Us (Deluxe),album,2,00602475386513,"© 2024 Gracie Abrams, under exclusive license to Interscope Records","℗ 2024 Gracie Abrams, under exclusive license to Interscope Records","Gracie Abrams, under exclusive license to Interscope Records",87,2024-10-18,day,20
2QWd1BsO7J0zLwxhsKl3zh,2025-03-13 00:00:00.000000 +00:00,Messy,single,2,00602465355871,"© 2024 Day One Music Limited, under exclusive licence to Universal Music Operations Limited","℗ 2024 Day One Music Limited, under exclusive licence to Universal Music Operations Limited",Universal-Island Records Ltd.,80,2024-05-30,day,6
3iPSVi54hsacKKl1xIR2eH,2025-03-13 00:00:00.000000 +00:00,Short n' Sweet,album,2,00602465924695,"© 2024 Island Records, a division of UMG Recordings, Inc.","℗ 2024 Island Records, a division of UMG Recordings, Inc.",Island Records,90,2024-08-23,day,12
1NAmidJlEaVgA3MpcPFYGq,2025-03-13 00:00:00.000000 +00:00,Lover,album,8,00602508009211,© 2019 Taylor Swift,℗ 2019 Taylor Swift,Taylor Swift,87,2019-08-23,day,18
5EYKrEDnKhhcNxGedaRQeK,2025-03-13 00:00:00.000000 +00:00,65746572-6e61-6c20-7375-6e7368696e65,album,2,00602465334470,"© 2024 Republic Records, a division of UMG Recordings, Inc.","℗ 2024 Republic Records, a division of UMG Recordings, Inc.",52657075-626c-6963-2052-65636f726473,84,2024-03-08,day,13
5DvJgsMLbaR1HmAI6VhfcQ,2025-03-13 00:00:00.000000 +00:00,Endless Summer Vacation,album,3,196871387361,,"(P) 2023 Smiley Miley, Inc. under exclusive license to Columbia Records, a Division of Sony Music Entertainment",Columbia,78,2023-08-18,day,14
3PEzTAuPW5IjLJ58FzwQeL,2025-03-13 00:00:00.000000 +00:00,Unwritten,album,3,886449065233,,(P) 2004 Sony Music Entertainment UK Limited,Sony Music CG,76,2004-08-30,day,14
7M842DMhYVALrXsw3ty7B3,2025-03-13 00:00:00.000000 +00:00,I'm Good (Blue),single,4,5054197324338,"Under license to Warner Music UK Limited, © 2022 What A DJ Ltd","Under license to Warner Music UK Limited, ℗ 2022 What A DJ Ltd",Parlophone UK,74,2022-08-26,day,2
